,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
271,안철수가 붙지만 않았어도한남들이 정신만 차렸어도정말 한국가고 싶은 마음 다 사라짐누가누가 못하나를 보는 시간이었지만그래도 이건 최악임,0.04,0.9,0.03,0.06,0.03,0.03,0.01,0.02,0.04,0.06
484,이제 민주당 또 존나 통수치겠지 여성 정책 신경쓰느라 안철수 단일화 시전하고 표 분산화 되면서 한녀들 개망하고 한남들 2번남 지지 됐다고 이제 이 분이 해야하는 건 민주당에서 나오는 개소리 무시하고 바른 길 이끄는 거 그거 하나,0.41,0.72,0.01,0.04,0.02,0.03,0.01,0.02,0.04,0.03
768,야 이씨발 안철수 아방수키링남새끼야 윤석열옆에 콕붙어잇으니까 살만하냐 줏대없는올챙이새끼야 기분좋아 이 찐따새끼야,0.01,0.64,0.03,0.3,0.02,0.02,0.01,0.03,0.12,0.02
1172,마음이너무착잡함원래 사퇴 아니었으면 안철수뽑으려했었다는데 대체 왜 2번을 뽑은거니 대놓고 2번남같은 한남이아니라서 더 착잡함 차라리 그랬으면 대놓고 정이라도 떨어질텐데,0.04,0.94,0.03,0.05,0.02,0.03,0.02,0.02,0.05,0.04
2205,우리집 막내 일번남 확인 안철수 사퇴해 고민하더니 고마워 우리집 일번남들 확인 휴우,0.03,0.62,0.02,0.02,0.01,0.02,0.01,0.01,0.09,0.26
3241,여튼 20댜 남성 중 이번남님들의 비율은현재 52 로 확인되네 안철수 지지의 반이 합류했다면57퍼까지 늘어났겠지 이재명 20심상정 2전체 다는 아닌 게 다행이라고 해야할까 하아 여튼 이번남 52 이번남 아닌 자 48,0.05,0.84,0.03,0.02,0.03,0.03,0.01,0.02,0.06,0.2
3596,여러 윤 비리를 나열하니 blind 이대남들이 BBK도 윤이 다 덮었다고 얘기 하지 그러냐 하면서 빈정대서 혹시나 하고 찾아 봄 놀랍다 ㅎㅎ 막던져도 명중,0.05,0.77,0.02,0.05,0.02,0.01,0.01,0.02,0.07,0.15
3770,ㅋㅋㅋㅋㅋㅋㅋ 저의 열받음의 반쯤은 안철수였어요 ㅋㅋㅋㅋㅋ 근성없는 남성 너무 싫,0.21,0.67,0.03,0.01,0.03,0.01,0.01,0.03,0.07,0.07
6367,안철수는 이번 선거에서 번 돈가지고무인도로 추방시켜 버려야 한다는 생각이 드네요,0.04,0.92,0.04,0.13,0.02,0.03,0.01,0.03,0.05,0.03
6665,이재명 또한 단일화 목메고 안철수 위해긴급의총을 하고 원포인트 국회열자고 했던당에서이러시면 자기디스 밖에 안되는 내로남불 내가하면단일화 남이하면 야합 이거 아니죠 ㅋㅋㅋ,0.05,0.6,0.02,0.02,0.01,0.01,0.01,0.02,0.17,0.12
7472,안철수가 인간이면마지막 토론은참석 안했어야지,0.02,0.74,0.01,0.13,0.02,0.03,0.01,0.02,0.07,0.05
7796,10만뷰 또철수쏭 엘콘도파사 가수 백자 안철수 철새는 날아가고 끝철수 via,0.05,0.88,0.02,0.04,0.05,0.03,0.01,0.03,0.04,0.08
7856,그런데 별개로 5년 전 민주당 경선에서 문보다 이재명 득표율이 낮음 을 납득하지 못하고 표가 없어졌다 투표함 까라 부정선거다 안철수 찍겠다던 집단과 이번 민주당 경선에서 정세균 표 없어지는게 당연하다는 집단과 이번 대선의 부정선거 렉카들 보며 씩씩대는 집단이 같은 집단인건 좀 웃김,0.06,0.78,0.03,0.02,0.03,0.06,0.0,0.02,0.04,0.15
8081,희롱이는 구제하기 힘든 인간인걸 알았다안철수와 원희롱이의 감언이설에 속지말자,0.08,0.79,0.02,0.03,0.04,0.03,0.0,0.03,0.08,0.06
8808,미칀 중간철수 중간철수이제 아주철수해,0.11,0.9,0.02,0.03,0.04,0.02,0.01,0.02,0.05,0.07
9224,이준석 지방선거 출마 시 아닌 당과 상의해야 다음 뉴스 윤석열한테도이준석한테도안철수는 그냥 밥인 것이다초딩 안철수만모르는 사실이다,0.03,0.88,0.02,0.05,0.02,0.03,0.01,0.02,0.06,0.08
9263,콜럼버스가 아니었어도 신대륙은 발견됐을거고 안철수가 아니라도 다당제는 이뤄질거라고 생각한다 시간의 문제지 난 안철수 개인을 응원하진 않아 그가 주장한 것들이 나의 생각과 같았던거지 동행 3월3일에 그 긴 동행은 끝,0.34,0.79,0.05,0.04,0.02,0.02,0.01,0.02,0.04,0.03
9837,윤석열 찍으면 손가락을 자르고 싶을거라고 말한지 이틀만에 윤석열과 단일화를 한 안철수가 윤석열과 합동유세를 한단다 그렇다면 손가락이 아닌 최소한 손목은 잘라야 되지 않나 너절한 변명이나 늘어놓다 지지자들에게도 외면 당한 안철수는 무슨 낯짝으로 합동유세를 하겠다는건지 이해불가다,0.05,0.92,0.02,0.03,0.03,0.03,0.02,0.02,0.05,0.06
9855,윤일화 후폭풍 뿔뿔이 흩어지는 안철수계 출처 시사저널 네이버 뉴스 안철수 이 사기꾼이 모든 의사결정은 당원동지들의 결의를 모은다고 했는데 그것도 뻥이었다 세상에 이런 개같은 아니 개보다 못한 사람이 또 있을까 한심하다 모지리,0.06,0.91,0.01,0.03,0.02,0.03,0.02,0.02,0.05,0.07
11136,투표에 적극 참어해서 검찰쿠테타 안철수 야합 얘국 국민들이 힘 합쳐서 막자고요,0.03,0.69,0.02,0.02,0.18,0.02,0.01,0.05,0.07,0.07
15913,지금 단일화 생중계 보고 있는데 안철수는 제3지대의 정치를 아직도 외치면서 단일화하네 안의 정신세계는 뭐야 양당제로 들어가면서 제3지대가 중요하데,0.11,0.74,0.03,0.02,0.04,0.02,0.01,0.09,0.17,0.03
17051,안철수 또 한번의 철수로 청치생명 절단났네 그것도 윤석열 상대로 잘 가,0.06,0.72,0.02,0.13,0.01,0.02,0.01,0.02,0.07,0.03
19117,단독 윤석열 안철수 오늘 새벽 전격 회동 단일화 타결 다음뉴스 아니 얘들아 뭐 하노,0.03,0.69,0.03,0.04,0.01,0.02,0.01,0.01,0.1,0.17
20375,안철수 오늘 왜케 뭔가 아톰같지,0.09,0.89,0.02,0.03,0.04,0.02,0.01,0.03,0.04,0.06
