,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
1463,이재명쪽이 아예 심상정표 가져갈랬으면 성소수 장애인 다 품었어야됨 시발윤석열 아예 다 배재하고 남여혐오 갈등 기구로 2 30대 남자표만 받아가니까 아예 절캐 차이가 나지시발 차라리 안철수가 윤석열이랑 붙지만 않았어도,0.12,0.01,0.63,0.04,0.02,0.02,0.01,0.37,0.14,0.03
6673,하스미 케이토윤석열 임금 발언에 분노해서 윤석열 안철수 동인지 만듦,0.02,0.01,0.75,0.02,0.01,0.01,0.02,0.09,0.12,0.06
30446,생수 브랜드 다슬기 눈물 관행 상식 공정 정의깨끗한세상 땀의 눈물 예술적메시지,0.03,0.01,0.67,0.01,0.01,0.01,0.01,0.03,0.07,0.16
30558,Ahn is a pain in the ass He is not good for Korea Both Yoon and Lee should bury him this time for good,0.03,0.01,0.62,0.01,0.01,0.01,0.01,0.03,0.06,0.21
30728,정권교체 열망이 이렇게들 간절한데 이재명에게 추태나 보내고 있고 국민이 키운 윤석열 못 잡아먹어 아주 안달이 난 안철수는 시기 질투 착각 망상에 눈이 멀어 완전 맛탱이가 간 거지,0.02,0.01,0.7,0.01,0.01,0.01,0.02,0.04,0.07,0.12
31654,안철수측 이준석이 이달 초 사퇴 전제 합당 제안했다 다음 뉴스,0.02,0.01,0.79,0.01,0.01,0.02,0.02,0.03,0.13,0.06
31939,여조 경선을 해도 결과는 크게 바뀌지 않을 테지만 만에 하나 안철수가 이긴 들 어쩔 수 없겠죠 문제는 안으로 단일화 했을 때 여권 표가 온전히 갈 것인가 지금까지 서로 한 짓들이 있는데 시간이 너무 촉박하고 지금 단일화 시너지를 낼 수 있는 방법은 진짜 희귀합니다,0.05,0.02,0.84,0.02,0.01,0.02,0.01,0.07,0.05,0.09
31952,긴급 안철수 경찰청에 방금 고발 유세버스 사망 사건 중대재해법 처벌 최소 징역 1년이라는데 진성호의 융단폭격 via,0.05,0.02,0.76,0.04,0.01,0.01,0.01,0.05,0.04,0.16
32394,안철수에 관심이 많다 혼자서는 어렵지만 이재명과 손 잡으면 나라에 지극히 필요한 인재로 이재명에게는 꼭 필요한 인재다 연합정부를 성공하든 말든 안철수후보를 모셔서 중임을 맡길 필요성이 크다 특히 미래한국엔 없어서는 안 될 극필의 인재다,0.03,0.01,0.85,0.07,0.01,0.02,0.02,0.06,0.04,0.07
54760,안철수 표정 죽인다,0.03,0.02,0.88,0.05,0.02,0.02,0.02,0.05,0.05,0.07
55434,제대로 실천은 못했지만 어려서부터 보고 들은 도덕과 윤리가 있다 착한 이를 돕고 어려운 사람을 돕고 옳은 선택을 할 때는 주변의 조롱도 칭찬도 한 귀로 흘릴 줄 아는 게 그것이다 국민의당과 안철수 후보는 민주공화국 대한민국에서 그리고 개인의 삶에서 반드시 지켜져야 하는 상식이다,0.03,0.01,0.76,0.01,0.01,0.02,0.01,0.05,0.07,0.1
