,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
13,이재명은 윤석열 안철수 심상정과 싸웠다 잘했다 극좌와 극우는 통한다고 굿짐당과 정의당 일베와 꼴페미는 같은 편임이 드러났다 민주당은 양성평등을 지향한다면서 청년을 분열시키고 남녀혐오를 조장하는 페미양아치와 결별하고 2030 남녀가 토론하고 협력하는 올바른 페미를 지향하여야 한다,0.91,0.01,0.02,0.04,0.02,0.03,0.02,0.1,0.05,0.1
19,허경영냅두고 왜 심상정팸 안철수냅두고 왜 심상정팸 맨날 여권여권거리는 친구들 결국 지들이 앞장서서 여자패고있음,0.76,0.02,0.01,0.04,0.02,0.02,0.01,0.08,0.22,0.06
133,씻는데 계속 한숨나옴 지금도 나옴 대체 공약도 없고 아는것도 없어서 안철수가 고개저을정도고 심상정후보님한테는 반말 찍찍 싸면서 여자 개차반으로 생각하는 사람이 어케 대통령을 하지,0.7,0.01,0.01,0.03,0.01,0.01,0.01,0.04,0.18,0.14
379,윤석열 제20대 대통령 당선으로 바뀔 것들 여가부 폐지 안철수 총리 미지수 확실한 건 한반도 안보의 위험 그리고 앞으로 적은 임금을 받으면서 더 많은 일해야 하는 건 당연한 수순이 될 것 윤석열 대통령,0.79,0.01,0.02,0.05,0.01,0.02,0.01,0.07,0.06,0.18
513,트렌드 윤석열 대통령 취임일과 지방선거 안철수 인수위에서 여가부폐지 나올까,0.82,0.01,0.02,0.04,0.01,0.02,0.01,0.04,0.05,0.21
1028,이준석 이낙연파 세금낮춰줘빌런 페미가싫은혐오자 성매매합법화지지자 뭣모르는이대남 안철수 등 여러 요인들 대상으로 모두 수고하셨습니다 저희 잘한걸거예요,0.74,0.05,0.02,0.02,0.02,0.02,0.0,0.07,0.09,0.16
1137,빌런을 올린 공훈은 언론 완주 손가락 운운하다 먼저 제안해 단일화한 안철수 여니아니면여리 2번 찍고 여론 선동 열심이던 이니 여니 지지자들 사전투표 관리 엉망 선관위 남녀 갈라치기 2번남 수령 이준석 의외로 별 효과 없었 커뮤니티들은 이미 온갖 남탓 페미탓 정의당탓으로 지옥,0.63,0.01,0.01,0.02,0.01,0.03,0.01,0.07,0.2,0.19
1441,심상정보다 안철수 단일화가 다 컸다고 말하는 빡대가리년들아 그냥 심상정 뽑은거 후회한다고 대놓고 쳐말해 왜 남탓하고 지랄이야 안철수 단일화한건 득 실 전부 아니고 무의미한 표갈림이야 미친년들아 안철수 핑계대지마 니들이 심상정 뽑아서 윤석열 된거야 ㅋㅋ,0.77,0.01,0.01,0.03,0.02,0.02,0.01,0.07,0.27,0.04
1636,2030여성표가 누구 때문에1번에게 몰려갔지만 2번이 돼도 안철수가 N번방과 여성부 문제 원만하게 잘 해결할 것,0.62,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.1,0.42
1949,국힘은 치밀함이 부족해페미니즘은 세계흐름이니 가지고 가도록거꾸로가는 이미지를 주면 안됨요부디 꼼꼼한 안철수랑 소통하고 화합해서 앞으로 나아가야 반쪽난 나라 통합하고 민심 달랠수 있움,0.7,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.05,0.29
1976,지금 국힘 지지자들 3가지로 나뉘네1 여자들 탓이다 젠더갈등 2 호남 탓이다 지역갈등 3 안철수 탓이다 소수당갈등 180석때도 정신 못차렸냐 갈등해결은 커녕 어설프게 이용하거나 아예 탓으로 돌리는데 압도적으로 이길거라고 생각했어,0.67,0.02,0.01,0.01,0.01,0.1,0.01,0.05,0.09,0.17
2004,근데 내주변 앵간한 남자들은 다 1번 뽑던데 안철수 뽑으려다 못뽑은애들은 봤어도 2번 지지하는사람 딱 한명봄근데 걔는 사유가 남성인권을 신경써주겠다도 아니고 고작 여성부없애겠다고해서 페미들 꼴좋다고 윤 뽑겠대 ㅋㅋㅋㅋ 물론 가까운 지인 절대아님,0.87,0.02,0.01,0.03,0.01,0.02,0.01,0.04,0.05,0.08
2272,제발꺼졌음좋겠어 페미니즘차치하고서라도 안철수한테개짓한거진짜꼬움,0.84,0.01,0.02,0.04,0.01,0.02,0.02,0.05,0.18,0.06
2690,안철수 대표가 거기 간다고 하더라도 이준석 혐오하는 여자들 도저히 거기 표 못 줬을 거 같다 그 분들 이준석이를 인간취급도 안하던데,0.6,0.01,0.01,0.02,0.01,0.02,0.01,0.06,0.27,0.17
