,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
1171,하나님 자녀는 제사하지 않는다 예수 믿는다고 말하면서 제사하는 자는 가짜신자다 하나님 앞에 거짓말하는 자 사람 앞에 거짓말 밥먹듯 한다 윤석열 안철수의 미래지향적인 successful 단일화에 의한 압도적인 정권교체는 국민의 절대적인 뜻,0.01,0.01,0.02,0.02,0.01,0.01,0.66,0.03,0.09,0.15
4637,지역구 당일 득표수 국민의힘 124석 민주당 123석에 비해 지역구 관내 사전투표 득표수 국민의힘 49석 민주당 198석이라는 결과는 조작하지 않고는 불가능한 수치다 윤석열 안철수의 미래지향적인 successful 단일화에 의한 압도적인 정권교체는 국민의 절대적인 뜻,0.01,0.01,0.02,0.02,0.01,0.01,0.66,0.03,0.09,0.15
5043,지역구 당일 득표수 국민의힘 124석 민주당 123석에 비해 지역구 관내 사전투표 득표수 국민의힘 49석 민주당 198석이라는 결과는 조작하지 않고는 불가능한 수치다 윤석열 안철수의 미래지향적인 successful 단일화에 의한 압도적인 정권교체는 국민의 절대적인 뜻,0.01,0.01,0.02,0.02,0.01,0.01,0.66,0.03,0.09,0.15
5914,완전 실망입니다 탈당 하겠습니다 어떻게 이런 일이,0.01,0.01,0.03,0.08,0.01,0.03,0.92,0.09,0.05,0.03
7067,안철수가 기부한다며 만든 동그라미 재단은 이명박 청계재단의 짝퉁입니다 나가야 하는 세금만큼 이상 절대 돈 안 써요,0.01,0.01,0.02,0.02,0.01,0.01,0.66,0.03,0.09,0.15
7269,청년들 중에서 홍준표 지지자였다가 경선탈락해서 안철수를 지지했는데 단일화해서 1번찍는 사람들 많아요,0.01,0.01,0.02,0.11,0.01,0.02,0.88,0.04,0.05,0.08
7278,5 차선책으로 선택했지만 윤석열 후보 마누라가 문재인 첩자로 이미 대선 준비용으로 낙마 시키려고 결혼 시켜 놨는데요 또 대선 후 차기 후보도 안철수로 못하게 철저히 막습니다 내가 훤히 알고 있습니다 우선은 지방선거 공천을 주겠지만 이미 유권자들 사이에 이미지가 삭감됐습니다,0.01,0.01,0.02,0.06,0.01,0.01,0.71,0.03,0.05,0.21
9497,지역구 당일 득표수 국민의힘 124석 민주당 123석에 비해 지역구 관내 사전투표 득표수 국민의힘 49석 민주당 198석이라는 결과는 조작하지 않고는 불가능한 수치다 윤석열 안철수의 미래지향적인 successful 단일화에 의한 압도적인 정권교체는 국민의 절대적인 뜻,0.01,0.01,0.02,0.02,0.01,0.01,0.66,0.03,0.09,0.15
10400,이재명이 대통령이 되면 윤석열과 그 가족은 구속될 것이고 안철수는 마누라 이불속으로 들어갈 것이다,0.01,0.01,0.03,0.05,0.01,0.03,0.86,0.05,0.04,0.07
11282,딱 안철수님이시다,0.02,0.01,0.03,0.09,0.01,0.02,0.91,0.05,0.03,0.08
11312,이재명은 할 수 있다 안철수 새정치 내가 하겠다 다음 뉴스,0.01,0.01,0.03,0.1,0.01,0.02,0.84,0.04,0.03,0.17
15917,앞으로 안철수가 무슨 말을 하든 끝까지 이행할 거라는 믿음이 생기지않을듯,0.01,0.01,0.02,0.02,0.0,0.02,0.68,0.02,0.1,0.07
20818,이제 찢죄명의 최대 역점은 심상정과 역시나 정치 개혁과 자리 분배로 단일화가 남아있어 심상정이 찢죄명 지지 선언하고 사퇴해 버리는 건데 성사될지가 초미의 관심사가 되것다 지금 윤석열이 우위로 우세해 보일 때 깨끗하게 윤이 안철수를 하루속히 만나 당대당 통합으로 마무리를 지어야 하겠다,0.01,0.03,0.02,0.04,0.03,0.02,0.83,0.07,0.1,0.02
