,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
148,부끄럽고 미안합니다 안철수의 국민의당 때에 문재인타도 한마디에 전석을 내주더니 쌍욕 패륜 전과자에게 몰표를 주었습니다 윤석열이 잘못 악마화된것도 있지만 호남사람으로서 부끄러운 모습 반성하고 사과 합니다,0.01,0.01,0.02,0.02,0.01,0.76,0.02,0.04,0.12,0.11
290,부평 대구 그리고 사전투표 한 사람이 또 투표 이게 반장선거냐고 ㅋㅋ 아님 뭐 아파트 부녀회장 뽑는거냐 부녀회장이나 반장선거도 이거보단 투명하게 하겠다 ㅋㅋㅋㅋ 아니 알고보면 3번안철수에 투표했는데 무효표 안되고 윤석열한테 옮겨간거 아니냐고 ㅋㅋㅋㅋ,0.02,0.01,0.02,0.03,0.01,0.8,0.01,0.02,0.05,0.17
782,내가 안철수 미워하는 건 거길 절묘하게 파고들었기 때문이야 이준석이 왜 호남 20 를 장담했게 그놈도 안다는 거지 근데 정치인이든 언론이든 지식인이든 아무도 대놓고 호남 지역주의 를 얘기할 순 없어 욕만 먹는단 걸 아는 거지 나처럼 그래도 이번에도 봤듯이 갈등 속에서도 호남 참 착해,0.01,0.01,0.01,0.03,0.01,0.62,0.01,0.02,0.06,0.3
1050,이번 부정선거세팅에서 에러가 난 이유 1 안철수와 전격단일화 2 심상정이 찢표 가져감 3 본투표에서 차이 많이남 4 윤이 절라도에서 10 이상 가져감 5 서울에서 생각보다 많이 털림,0.02,0.01,0.02,0.04,0.01,0.9,0.02,0.03,0.04,0.1
1277,경상도는 안철수 뽑으려다 단일화 한다고 그냥 허경영 뽑는다는 사람들한테 절해야 할 수준임,0.01,0.01,0.01,0.02,0.01,0.81,0.01,0.02,0.06,0.12
1337,아 안철수 국민당은 열나게 유세차 돌고 선거운동원 돌고 그랬음 한마디로 호남 민주당 개판 중의 그런 개판이 없었으며 문자로도 문재인 후보 뽑아달라는 걸 받아본 기억이 없었음 하긴 민주권리당원인데도 안철수에게 뽁 간 인간들이 아주 많았으니까,0.01,0.01,0.01,0.03,0.01,0.78,0.01,0.03,0.07,0.17
1417,지금서울 내일 전주내려가야 해서 잠자러 들어 갑니다 출구조사 직후 지인들 전화와서 걱정 하는데 멘붕으로 제대로 통화 못했는데 전라도인의 욕을 덜 받을 수있어 다행입니다 서울에서 조카2번 찍게 하고 세종에서 코로나로 자가치료 중인 딸에게 기권하게 했네요 윤후보님 안철수 부탁합니다,0.01,0.01,0.02,0.04,0.01,0.86,0.02,0.02,0.03,0.18
1468,본인 전남에서 태어나서 평생을 광주에서만 살았는데 광주에서 이렇게 진보진영이 표 뺏긴거 처음봄 ㅇㅇ 이 전 대선 때 안철수 쪽에 표 준적말고 보수당에서 12프로나 나온거 이번이 처음임 ㅋㅋ 이런거 보면 반성부터 해야겠다는 생각을 하는게 맞지 않냐 근데 분명 저새끼들은 개좆같은소리할걸,0.01,0.01,0.02,0.02,0.01,0.83,0.01,0.03,0.14,0.05
1542,맨날 안철수 투표하던 울엄마 빡쳐서 허경영 찍었는데 이재명으로 가자고 설득했어야함 대구 진짜 어쩌냐,0.01,0.01,0.01,0.03,0.01,0.77,0.03,0.01,0.04,0.11
1565,꼭 그렇지도 않아요 절라도에서 안철수 지지자들 10중 8 9는 리죄명으로 갈아탔습니다 그건 내가 사는 곳이라 잘 압니다,0.01,0.01,0.02,0.03,0.01,0.88,0.02,0.03,0.05,0.12
1729,윤석열당선 이군 잘좀해라 안철수가 잘좀 견인하기를 전라도 표의 쇼타임은 이제 끝낫다 미안하지만 이제는 역전임 ㅋ,0.02,0.01,0.02,0.03,0.02,0.9,0.02,0.03,0.04,0.08
1934,문재인후보땐 맨날 말꼬리잡으며 홀대했다 뒤집어씌우고 안철수 지지하며 착한 문재인후보 가슴 다 찢어놓고 회초리든다고 난리치던 호남이 뭐 문프때매 이재명 찍어요 쓰레기한테 몰표주고나서 쪽팔리니 문프때매 찍어줬다 구라들 치시네 쓰레기한테 몰표주면 아무리 호남이라도 욕먹어도 쌉니다,0.02,0.01,0.02,0.04,0.01,0.89,0.02,0.04,0.09,0.04
2050,윤석열당선 이재명당선 당신의 선택은 근데 결과는 끝났습니다 윤석열 압승입니다 진짜 안철수와 함께 공동정부 하길 성공하는 정부가 되도록 곧 전라도 표 떨어질듯 전라도 인구 총 420만 경상도 인구 총 1100만 이거 이해 못하면 정치 접어야 함 전라도 표가 멈추는 순간 이재명표 끝,0.02,0.02,0.02,0.05,0.01,0.93,0.02,0.03,0.03,0.08
2074,아직도 피해입은 사람들이 살아숨쉬는데 피해의식이라고 하는 수준 봐라 호남지역이 정말 지역성을 중심으로 돌아가는 곳이었으면 지난 대선때 안철수득표율이 그렇게 높지않았겠죠 ㅋㅋ 어느분 말마따나 정당이 아닌 정책을 따라가는 유일한 지역이 바로 호남인데 무슨 헛소리를 하시는지,0.01,0.01,0.01,0.01,0.01,0.65,0.01,0.03,0.17,0.11
2189,안철수 사퇴한 날 점심 때에 동네 사람들 우리집으로 와서 우리집 동네 사랑방 정도 됨 안철수 욕하는 거 듣고 아직 내가 못 들어 본 전라도 욕도 있구나 싶었지,0.02,0.01,0.02,0.04,0.01,0.89,0.02,0.02,0.04,0.11
2264,예전에 광주 전라 안철수당 지지한적있었어요 광주 전라권은 정치색으로 지지하는거 절대 아닙니다,0.01,0.01,0.02,0.02,0.01,0.73,0.02,0.02,0.04,0.41
2316,안철수도 밀어준 호남 호남사람이지만 이해를 할수없음 대구경북도 마찬가지겠지요,0.01,0.01,0.01,0.02,0.01,0.74,0.01,0.02,0.04,0.31
2338,호남이 뭉친 이유 안철수 야합때문에,0.02,0.01,0.01,0.03,0.01,0.8,0.01,0.03,0.05,0.16
2474,실제로 안철수가 다당제 주장하고 뭐하고했던 촛불대선때는 문재인 말고 안철수 표가 30퍼나돼서 양당제 말고 3당제가 가능했음 광주랑 전라도가 눈멀어서 파란쪽만 찍어준다는건 다 생 지랄임,0.02,0.01,0.02,0.03,0.01,0.91,0.02,0.03,0.06,0.06
2556,전라도는 안철수 덕이네요 이유가 머든 이 기세로 쭈욱 이재명 후보 당선 가즈아,0.02,0.01,0.02,0.04,0.01,0.88,0.02,0.02,0.03,0.12
2565,맞아ㅋㅋㅋㅋㅋㅋㅋㅋ 타지역 사람들이 광주한테 왜 안철수를 몇십 퍼센트 뽑았냐고 실망했다 하고 지들 빨강 초록 퍼센트나 붙잡고 혼자 울지 왜 우리한테,0.01,0.01,0.01,0.02,0.01,0.65,0.01,0.02,0.22,0.1
2622,호남진짜이갈은게 빨간당이 2위인거 전엔 4위였자나 문재인 심상정 안철수 다몰표인가바,0.02,0.01,0.01,0.04,0.01,0.83,0.01,0.03,0.05,0.11
2642,전라도는 문프 당대표 시절 정확히 김종인 비대위 시절 총선도 안철수당 밀어줬잖아,0.02,0.01,0.02,0.05,0.01,0.88,0.02,0.02,0.03,0.17
2688,역풍이죠 전라도 몰표에 2030 여성표 그리고 만만치 않은 수도권과 부산 경남에서 선전 그게 다 안철수 덕은 아니겠지만 영향은 주었음,0.05,0.01,0.02,0.02,0.02,0.87,0.01,0.03,0.04,0.13
2769,아 근데 결과적으로는 안철수 단일화가 전라도에 큰 영향을 미침 역풍 제대로 맞은,0.02,0.01,0.02,0.04,0.01,0.88,0.02,0.02,0.04,0.12
2787,민주당 득표율은 광주의 트라우마 때문이라고 호남분들 원망하지말라고 말씀하시는 분들 계신데 19대 대선에서 문재인 대통령 호남 득표율 였음 안철수는,0.01,0.01,0.01,0.02,0.01,0.61,0.01,0.02,0.04,0.45
2902,대전도 세종도 충남 충북도 빨강 서울도 빨강이면 말다했네 윤석열 대통령 당선될듯 아직 모르는거라 뭐 나는 안철수 찍어서 무효표,0.01,0.02,0.02,0.02,0.01,0.83,0.02,0.02,0.04,0.24
2962,근데 전라도도 삐끗함 지지난 총선인가 전라도 안철수당 몰표였,0.02,0.01,0.02,0.03,0.01,0.92,0.02,0.03,0.04,0.1
3013,확실한건 단일화도 개같이 망했다는 거 안철수 등장 이후로 민주당의 호남 80 는 넘지 못하는 벽이었는데 이 사람들이 싸그리 이재명한테 갔네,0.01,0.01,0.01,0.03,0.01,0.68,0.02,0.04,0.12,0.1
3086,호남은 안철수 역풍인 듯,0.02,0.01,0.01,0.02,0.01,0.69,0.01,0.02,0.05,0.32
