,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
68,"이대녀와 페미니스트들은 피해호소인 사태를 겪고 더 이상 집토끼가 아니다 존중하고 포섭,설득해야 하는 유권자라는 사실 잊지말길 더민주는 이미 신뢰를 잃었고지금 이재명을 뽑는 이대녀 대다수가  심상정 지지자 였다 🔥추적단 불꽃 박지현🔥의 호소를 보고 돌아서서 뽑고 있다",0.73,0.02,0.02,0.03,0.01,0.01,0.01,0.04,0.07,0.34
71,"이재명이추적단불꽃의 박지현과 손잡았다대선 마지막날 밤 피크타임에 젊은여성들 표를 얻고자...""썅년이 닳고 닳은 년이처녀가 애까지 낳은 년이미혼모 주제에너 마약전과 많지 우리관계 떠벌리면동기검사 시켜서 3년동안 구속시키겠다죽여버리겠다""이재명이 김부선에 한 말이다 ",0.75,0.01,0.01,0.05,0.01,0.01,0.02,0.03,0.16,0.09
205,추적단 불꽃 페미니즘 팔아먹는 장사치 아님?,0.67,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.17,0.17
209,얼마나 미치면 니넨 추적단 불꽃에게 페미니즘 팔아먹는 장사치라고 욕함? ,0.8,0.02,0.01,0.02,0.01,0.01,0.02,0.04,0.19,0.06
271,엔번방 최초로 밝히신 추적단 불꽃 박지현님 이 추천하신 글! 민주당도 이재명도 싫던 내가 이재명 지지를 호소하는 이유👍#이재명 #여성 #대선 #여성정책 #페미니즘,0.6,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.05,0.38
292,어차피 여자들은 윤석열 안뽑을거니까 소신투표하게 유도하라고 하는 펨코이걸보니 더욱 전략투표해서 이재명 뽑아야겠다는 생각을 했다!불꽃추적단 박지현 가보자고 ,0.77,0.05,0.02,0.01,0.01,0.02,0.01,0.02,0.08,0.2
293,"뮤트합니다.. 이번 대선 여성들 투표 단합해서 여혐펨코유저 윤석열이 대통령 되는 거 막았으면 좋겠습니다 둘다 똑같다 하지만 여성정책 펼치고 여가부 폐지 반대, 추적단 불꽃분들 영입해서 선거운동하는 기호1번 이재명 한번씩만 고려해주세요.. 차악과 악은 천지차이입니다 ",0.82,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.08,0.19
295,아직까지도 후보들 공약 찾아보기는 싫고 보돕보는 해야겠고 이재명 윤석열 똑같아보이고 그런 사람들은 추적단 불꽃 박지현씨 따라가세요 제발ㅋㅋㅋ... 말뿐인 걸크러쉬 멋지다고 하다가 한녀 목에 칼들어오게 생겼습니다,0.8,0.13,0.01,0.05,0.01,0.01,0.02,0.02,0.05,0.05
314,요즘 온갖 여혐펨코충들이 여시같은 여초사이트에서 심찍자고 여론조작 한다는데 오히려 추적단 불꽃 같은 ㄹㅇ로 여성인권 생각하는 사람들은 1번에 표주기로 맘 먹고..여전히 트위터에서 심찍심 하는 사람들은 대체 어떤 사람들일까 궁금해져,0.66,0.12,0.04,0.01,0.01,0.01,0.01,0.03,0.16,0.08
316,추적단 불꽃 박지현을 응원하고 지지합니다.박지현을 청와대로 보내려면 이재명을 청와대로 보내야 합니다해시태그앞뒤에다특문없이빈칸없이열자이상#추적단불꽃_박지현_킹메이커여성혐오안티페미펨코왕자일베충을몰아내자,0.8,0.19,0.03,0.05,0.02,0.01,0.01,0.06,0.04,0.04
338,나도 이재명 페미 소굴 간거높이 인정. 추적단 불꽃 활동가 영입도 높이 인정.,0.8,0.02,0.01,0.03,0.01,0.03,0.02,0.03,0.07,0.16
343,"한 쪽이 여가부폐지공약, 신남성연대지지, 무고죄강화, 페미는반헌법 발언 뱉을때한 쪽은 추적단불꽃 박지현님 영입, 디지털성범죄근절, 데이트폭력처벌강화 등정책이 확연히 차이가 나는데 둘다비호감이라고 ~쟤나얘나똑같아~양비론 하는건 맞잖음..여자도 전략투표로 뭉친단 걸 보여주자구요 ",0.68,0.05,0.02,0.02,0.01,0.01,0.01,0.03,0.07,0.28
368,"여가부 폐지를 핵심공약으로 하고 더해서 성범죄 무고죄 강화,페미는 반헌법적이라는 새끼랑 N번방 추적단 불꽃 박지현님 영입하고 여성공약 구체적으로 촘촘하게 잘 내고있고 공약에 대한 의지도 추진력도 있는 사람두고서 쟤나 얘나 똑같아 하면서 양비론 펼치는 사람 대가리 존나 꽝꽝 내려치고싶다 ",0.7,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.23,0.09
377,페미니즘이 위헌이라는 윤석열 vs 추적단불꽃님 박지현님과 함께 일하는 이재명무조건 후자를 뽑아야 한다!#이재명 #윤석열 #페미니즘 #추적단불꽃,0.91,0.04,0.05,0.03,0.01,0.02,0.02,0.06,0.04,0.05
