,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
328,민주당은 정신차리고 박지현님 등 이번 결집의 결정적인 중심인물부터 보호하고 꼭 경청하세요 벌써부터 개소리 드릉드릉하는 1.8남들이 창궐하네,0.04,0.92,0.02,0.04,0.04,0.03,0.01,0.03,0.05,0.04
1177,박지현씨만이 이번선거 유일한 빛이자 희망이었다...냄저새끼들 추태 매일같이 들여다 보느라 너무 고통스러웠어,0.03,0.94,0.03,0.03,0.04,0.02,0.02,0.02,0.05,0.04
1267,"솔직한 심정으로는, 머리로는 염치 없는 거 알지만 심 후보가 단일화까진 아니더라도 협조만 좀 해주지 하는 원망도 든다. 맡겨놓은 표도 아니면서. 박지현씨와 이재명씨 심정 어떨까 생각도 들고 주변의 이십대 이번남들 얼굴도 스친다. 평소처럼 웃는 얼굴 마주볼 수 있을까 하는.",0.04,0.66,0.02,0.02,0.01,0.02,0.01,0.02,0.11,0.19
1285,박지현 활동가 지켜라이가 당선이 못 된다고 해도이 분은 지켜드려야지... 남초에서 어떻게든 달려들려고 난린데솔직히 생명의 위협도 받을 수 있다고 봐 만약 윤이 된다면 그남들 진짜 입에 칼 물고 미친듯이 설칠 거 같은데,0.04,0.85,0.03,0.03,0.02,0.02,0.01,0.02,0.1,0.08
1299,박지현건들면뒤진다한남새끼들아!!!!!!!!!!!!!!!!!!!!!,0.03,0.92,0.05,0.06,0.03,0.03,0.02,0.02,0.05,0.03
1522,1남이 이겨도 그건 박지현씨의 승리지1남은 쥐뿔도 안 믿음 앞으로도 지랄할 각오 돼있음 걍 여자들이 눈 시퍼렇게 뜨고 살아있단 걸 보여준거임,0.17,0.79,0.01,0.03,0.02,0.01,0.01,0.01,0.1,0.05
1568,이재명의 승리 = 박지현의 승리 = 여자들의 승리 대선을 유치하게 남녀 갈등 구도로 몰아가긴 싫었지만 돌이랑 2번남들 때문에 어쩔 수가 없음 ;;,0.19,0.76,0.02,0.03,0.01,0.02,0.01,0.02,0.06,0.08
1620,민주당남들은 박지현님에게 무릎 꿇고 배워야 함. 당과 상관 없이 결의와 대의로  표를 끌어모았고 갈 곳 없던 여성들의 표를 모아 상징성과 명분까지 만들어주었음.,0.23,0.62,0.01,0.03,0.03,0.06,0.0,0.03,0.04,0.12
1641,"나는 이재명 후보 자체는 괜찮다고 생각해 왔는데(지방선거/민주당 대선 경선 때 뽑아줌), 그를 보좌하고 대변하는 냄져 스피커들이 엉망임… 현근택, 전용기, 김남국은 말할 것도 없고, 김용민이랑 노는 저 박진영도 진짜 개똥이었음. 권인숙, 정춘숙, 박지현 그저 빛이었다 ",0.02,0.87,0.03,0.04,0.13,0.03,0.01,0.04,0.04,0.04
1961,정말 난 투표용지에 박지현 위원장 보고 1번 찍었다.. 0.3% 개표율에도 이렇게 배가 살살아프다.. 너무너무 간절하다 2번남들 몰락이..,0.03,0.82,0.03,0.05,0.03,0.06,0.01,0.03,0.04,0.05
