,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
27, 부위원장님이 계셔서 우리는 그래도 희망을 봤습니다 이제 여자들의 피맺힌 목소리를 알겠죠 고생 많으셨습니다 감사합니다 그리고 한가지 부탁이 있는데 아직도 정신 못차린 민주당 인사들의 멱살을 잡아주세요 그래야만 총선도 차기 대선도 희망이 보입니다,0.71,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.1,0.24
61,민주당은 앞으로 더 정신 바짝 차려야해일찍부터 이재명 팍팍 밀어주고페미니즘 공약들 내서 여성들 표심 사로잡았으면 이겼을 대선이야.이재명 박지현 절대 지켜  ,0.84,0.01,0.02,0.03,0.01,0.03,0.01,0.04,0.08,0.15
101,박지현님 무탈하시길 바라고…. 무섭다 여자들에게 노동자들에게 어떤일들이 벌어질까 너무 무서워ㅜ,0.74,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.06,0.25
194,박지현 위원장님 저희야말로감사하고 죄송합니다+민주당 놈들아 빨리 박지현님지켜 비례대표 시장 시키라고+고맙다 윤세글자 새끼야평생 비혼 비연애 남혐하고 살겠다강제페미제조기 국힘당,0.67,0.07,0.02,0.02,0.01,0.02,0.01,0.04,0.22,0.08
204,여자연옌 목 길이 꼬막눈 고관절분석하다가 코르셋정병부메랑 역으로 처맞고 아랫세대 여자들이 탈코시작했더니 꼴사나운 넷사세라고 비웃다 뒤늦게 태세전환하고 이니여니 지킨단 핑계로 김혜경얼평하고 윤석열에 미쳐서 박지현씨 저주하는 사람들이 내세대 여성의 꽤 큰 포션을 차지하는게 웃픔 진짜,0.63,0.23,0.04,0.02,0.02,0.01,0.01,0.04,0.1,0.06
277, 스토킹 살인범을 심신미약으로 옹호하는 ㄱㅅㄲ 하나 빨려고   페미니즘을 통째로 갖다 받쳐서 즐거우셨었겠어요.,0.61,0.01,0.02,0.02,0.01,0.01,0.01,0.06,0.31,0.12
676,민주당 #나는_페미니스트다박지현 지켜,0.67,0.01,0.02,0.02,0.01,0.02,0.01,0.04,0.11,0.24
782,혐오와 사기가 이겼다. 그래도 이재명과 박지현은 지켜야지. 여자들을 지켜야지. 저들이 자신들의 이익을 지키듯 우리는 사람들의 생명을 지켜야 한다.,0.8,0.04,0.05,0.02,0.01,0.01,0.01,0.02,0.06,0.17
1133,2030 여자들 잘했어요이재명 후보 잘했어요박지현님 감사하고 잘했어요,0.64,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.03,0.52
1150,박지현 부위원장만 보고 이재명 찍은 여성 청년 너무 많지 대다수지 마지막에 페미니즘 요약 강의 듣고 표 몰린 거 아닌가? 앞으로도 정신 차리고 여자 눈치들 잘 보길 ,0.62,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.08,0.43
